Joust,,2600,Platform,Atari,1.08,1983
Halloween,,2600,Action,Unknown,0.62,1983
Gremlins,,2600,Action,Atari,0.46,1983
Gravitar,,2600,Action,Atari,0.38,1983
Gauntlet,,2600,Action,Answer Software,0.5,1983
Galaxian,,2600,Shooter,Atari,0.77,1983
Frostbite,,2600,Action,Activision,0.34,1983
Frostbite,,2600,Action,Activision,0.34,1983
Frogger II: Threeedeep!,,2600,Action,Parker Bros.,0.33,1983
Frankenstein's Monster,,2600,Action,Data Age,0.32,1983
Enduro,,2600,Racing,Activision,0.87,1983
Donkey Kong Junior,,2600,Platform,Coleco,0.97,1983
Donkey Kong Jr.,,NES,Platform,Nintendo,1.11,1983
Donkey Kong,,NES,Platform,Nintendo,1.13,1983
Dolphin,,2600,Action,Activision,0.29,1983
Dolphin,,2600,Action,Activision,0.29,1983
Dig Dug,,2600,Puzzle,Atari,1.64,1983
Death Trap,,2600,Action,Avalon Interactive,0.17,1983
Crystal Castles,,2600,Action,Atari,0.77,1983
Congo Bongo,,2600,Action,Sega,0.4,1983
Bump 'n' Jump,,2600,Racing,Mattel Interactive,0.39,1983
Battlezone,,2600,Shooter,Atari,0.62,1983
Baseball,,NES,Sports,Nintendo,3.2,1983
Bank Heist,,2600,Action,20th Century Fox Video Games,0.34,1983
Assault,,2600,Action,Bomb,0.22,1983
Alien's Return,,2600,Action,ITT Family Games,0.34,1983
Action Force,,2600,Action,CPG Products,0.54,1983
Xevious,,NES,Shooter,Namco Bandai Games,1.52,1984
Tennis,,NES,Sports,Nintendo,2.17,1984
Pinball,,NES,Action,Nintendo,1.85,1984
Pengo,,2600,Action,Atari,0.4,1984
Pac-Man,,NES,Puzzle,Namco Bandai Games,1.22,1984
Mr. Do!'s Castle,,2600,Action,Parker Bros.,0.17,1984
Millipede,,2600,Shooter,Atari,0.48,1984
Midnight Magic,,2600,Action,Atari,0.5,1984
Mappy,,NES,Platform,Namco,0.69,1984
Mappy,,NES,Platform,Namco Bandai Games,0.69,1984
Lode Runner,,NES,Puzzle,Hudson Soft,1.1,1984
Jr. Pac-Man,,2600,Puzzle,Atari,0.78,1984
Hogan's Alley,,NES,Shooter,Nintendo,1.27,1984
Gremlins,,2600,Action,Atari,0.46,1984
Golf,,NES,Sports,Nintendo,4.01,1984
Frogger II: Threeedeep!,,2600,Action,Parker Bros.,0.33,1984
F1 Race,,NES,Racing,Nintendo,1.52,1984
Excitebike,,NES,Racing,Nintendo,4.16,1984
Duck Hunt,,NES,Shooter,Nintendo,28.31,1984
Duck Hunt,,NES,Shooter,Nintendo,28.31,1984
Crystal Castles,,2600,Action,Atari,0.77,1984
Clu Clu Land,,NES,Puzzle,Nintendo,0.82,1984
Beamrider,,2600,Shooter,Activision,0.27,1984
Beamrider,,2600,Racing,Activision,0.27,1984
4 Nin uchi Mahjong,,NES,Misc,Nintendo,1.45,1984
Wrecking Crew,,NES,Platform,Nintendo,0.51,1985
Wrecking Crew,,NES,Platform,Nintendo,0.51,1985
Tag Team Match M.U.S.C.L.E.,,NES,Fighting,Namco Bandai Games,1.05,1985
Super Mario Bros.,,NES,Platform,Nintendo,40.24,1985
Super Mario Bros.,,NES,Platform,Nintendo,40.24,1985
Soccer,,NES,Sports,Nintendo,1.96,1985
Kung Fu,,NES,Action,Nintendo,3.5,1985
Ice Climber,,NES,Platform,Nintendo,1.5,1985
Gyromite,,NES,Puzzle,Nintendo,1.32,1985
Ghostbusters,,2600,Action,Activision,0.45,1985
Ghostbusters,,2600,Puzzle,Activision,0.45,1985
Dig Dug,,NES,Puzzle,Namco,0.41,1985
Dig Dug,,NES,Puzzle,Namco Bandai Games,0.41,1985
Clu Clu Land,,NES,Puzzle,Nintendo,0.82,1985
Bomberman,,NES,Puzzle,Hudson Soft,1.03,1985
Balloon Fight,,NES,Platform,Nintendo,0.92,1985
